id,consulta,cluster,intencion,url_objetivo,prioridad,fuente
1,dolar paralelo bolivia,dólar paralelo,cotización actual,/,P1,GSC
2,dolar paralelo en bolivia,dólar paralelo,cotización actual,/,P1,GSC
3,dolar paralelo,dólar paralelo,cotización actual,/paralelo,P1,GSC
4,dolar paralelo en bolivia hoy,dólar paralelo,cotización actual,/,P1,GSC
5,dolar en bolivia hoy,dólar general,cotización actual,/,P1,GSC
6,dólar paralelo bolivia,dólar paralelo,cotización actual,/,P1,GSC
7,precio del dolar paralelo en bolivia,dólar paralelo,precio compra venta,/paralelo,P1,GSC
8,dólar paralelo en bolivia hoy,dólar paralelo,cotización actual,/,P1,GSC
9,dolar paralelo en bolivia ayer,histórico,consulta por fecha,/historico/paralelo,P1,GSC
10,el dólar paralelo en bolivia,dólar paralelo,informativa y cotización,/paralelo,P1,GSC
11,precio del dólar paralelo en bolivia hoy,dólar paralelo,precio compra venta,/paralelo,P1,GSC
12,dólar paralelo en bolivia,dólar paralelo,cotización actual,/,P1,GSC
13,dolar paralelo hoy,dólar paralelo,cotización actual,/paralelo,P1,GSC
14,precio oficial del dolar en bolivia,dólar oficial,cotización oficial,/oficial,P1,GSC
15,cuanto esta el dolar en bolivia hoy,dólar general,respuesta directa,/,P1,GSC
16,cotización dólar oficial dólar blue hoy,comparación,comparar mercados,/brecha,P1,GSC
17,el dólar en bolivia hoy,dólar general,cotización actual,/,P1,GSC
18,cambio dólar paralelo bolivia,dólar paralelo,cotización actual,/paralelo,P1,GSC
19,dolar blue hoy,dólar blue,cotización actual,/dolar-blue-bolivia,P1,GSC
20,precio dolar bolivia hoy,dólar general,cotización actual,/,P1,Hipótesis
21,dolar compra venta bolivia,dólar paralelo,precio compra venta,/paralelo,P1,Hipótesis
22,tipo de cambio bolivia hoy,dólar general,cotización actual,/,P1,Hipótesis
23,historico dolar paralelo bolivia,histórico,serie histórica,/historico/paralelo,P1,Hipótesis
24,dolar oficial bolivia hoy,dólar oficial,cotización oficial,/oficial,P1,Hipótesis
25,usdt bolivia hoy,USDT,cotización P2P,/usdt-bob,P1,Hipótesis
26,dolar paralelo santa cruz,dólar paralelo,consulta local,/paralelo,P2,Hipótesis
27,dolar paralelo la paz,dólar paralelo,consulta local,/paralelo,P2,Hipótesis
28,dolar paralelo cochabamba,dólar paralelo,consulta local,/paralelo,P2,Hipótesis
29,dolar paralelo sucre,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
30,dolar paralelo tarija,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
31,dolar paralelo oruro,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
32,dolar paralelo potosi,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
33,dolar paralelo beni,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
34,dolar paralelo pando,dólar paralelo,consulta local,/paralelo,P3,Hipótesis
35,precio dolar calle bolivia,dólar paralelo,precio compra venta,/paralelo,P2,Hipótesis
36,cotizacion dolar casa de cambio bolivia,dólar paralelo,precio compra venta,/paralelo,P2,Hipótesis
